grouping_type,grouping_label,grouping_name,gene_identifier,gene_symbol,is_primary_ieg,age_effect_size,unadjusted_pvalue,adjusted_pvalue,confidence_interval_higher_bound,confidence_interval_lower_bound
subclass,CS20230722_SUBC_100,100 AHN Onecut3 Gaba,ENSMUSG00000073590,3222401L13Rik,False,1.81293506420609,7.76604914475409e-12,9.65319908692934e-08,2.34602028669861,1.27984984171356
subclass,CS20230722_SUBC_100,100 AHN Onecut3 Gaba,ENSMUSG00000095041,AC149090.1,False,1.28955175160597,3.32230784077085e-17,4.12962864607816e-13,1.79344707096588,0.785656432246066
subclass,CS20230722_SUBC_100,100 AHN Onecut3 Gaba,ENSMUSG00000086503,Xist,False,1.1850494029863,2.22217610818844e-11,2.76216490247823e-07,1.6458551891091,0.7242436168635
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000073590,3222401L13Rik,False,1.86749939721138,1.53238947394038e-15,1.96329739401242e-11,2.36609343567987,1.36890535874289
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000095041,AC149090.1,False,1.22943484615662,4.98920527161548e-25,6.39216979399375e-21,1.58965665501004,0.869213037303208
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000070348,Ccnd1,False,-1.91018212218985,3.05752359777068e-14,3.9172992334638e-10,-1.41893294070794,-2.40143130367177
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000076617,Ighm,False,2.51104142103175,2.72178933537081e-14,3.48715649647709e-10,3.29028664923347,1.73179619283002
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000035681,Kcnc2,False,1.38603091858131,6.56264979887971e-07,0.00840806692232468,1.95523974472652,0.816822092436103
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000039057,Myo16,False,-1.8992911403108,1.60254455464629e-09,2.05318008341283e-05,-1.29518011137256,-2.50340216924904
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000022656,Nectin3,False,-1.66783504978926,6.98738717706632e-10,8.95224045125737e-06,-1.18198770352623,-2.15368239605229
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000027301,Oxt,False,1.05930168629698,2.80788232823575e-07,0.00359745883893564,1.50252490197237,0.61607847062159
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000000792,Slc5a5,False,2.03319387321889,8.7478819273585e-15,1.12077863253317e-10,2.53916864601281,1.52721910042497
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000044176,Spink10,False,-1.01839715204533,1.50211163340086e-09,1.92450542471318e-05,-0.645968863381617,-1.39082544070905
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000054871,Tmem158,False,-1.2295213306277,1.46582396636822e-07,0.00187801366571097,-0.675251006385443,-1.78379165486996
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000086503,Xist,False,1.01122785633769,1.09448830401532e-11,1.40225841510443e-07,1.30723596029998,0.715219752375396
subclass,CS20230722_SUBC_132,132 AHN-RCH-LHA Otp Fezf1 Glut,ENSMUSG00000047036,Zfp445,False,-1.00011412930598,4.47057034174206e-07,0.00572769472183993,-0.530803106308751,-1.46942515230321
subclass,CS20230722_SUBC_098,098 AHN-SBPV-PVHd Pdrm12 Gaba,ENSMUSG00000073590,3222401L13Rik,False,1.38296030545943,8.92069278428907e-17,1.07931461997113e-12,1.71976292768839,1.04615768323048
subclass,CS20230722_SUBC_098,098 AHN-SBPV-PVHd Pdrm12 Gaba,ENSMUSG00000045193,Cirbp,False,1.07354382198738,1.78341739272107e-12,2.15775670345323e-08,1.45934903448774,0.68773860948703
subclass,CS20230722_SUBC_098,098 AHN-SBPV-PVHd Pdrm12 Gaba,ENSMUSG00000103428,Gm20754,False,-1.06604761406998,5.61971673267604e-07,0.00679929527486474,-0.644234897305043,-1.48786033083493
subclass,CS20230722_SUBC_098,098 AHN-SBPV-PVHd Pdrm12 Gaba,ENSMUSG00000036782,Klhl13,False,1.06931987158216,2.87758448792682e-07,0.00348158947194266,1.47328317123646,0.665356571927851
subclass,CS20230722_SUBC_098,098 AHN-SBPV-PVHd Pdrm12 Gaba,ENSMUSG00000035299,Mid1,False,1.26673006654378,1.17173128184893e-08,0.000141767767790902,1.69400819561604,0.839451937471515
subclass,CS20230722_SUBC_098,098 AHN-SBPV-PVHd Pdrm12 Gaba,ENSMUSG00000000792,Slc5a5,False,1.20224626952069,2.79412072802422e-10,3.38060666883651e-06,1.55450823583377,0.849984303207613
subclass,CS20230722_SUBC_098,098 AHN-SBPV-PVHd Pdrm12 Gaba,ENSMUSG00000063434,Sorcs3,False,-1.18864630513298,9.97024889990058e-08,0.00120630041439897,-0.759016823908243,-1.61827578635772
subclass,CS20230722_SUBC_098,098 AHN-SBPV-PVHd Pdrm12 Gaba,ENSMUSG00000010342,Tex14,False,1.13310985857129,8.16701826470354e-07,0.00988127539846482,1.55253449915534,0.713685217987231
subclass,CS20230722_SUBC_098,098 AHN-SBPV-PVHd Pdrm12 Gaba,ENSMUSG00000027217,Tspan18,False,-1.18751054585584,1.79882084351266e-10,2.17639333856597e-06,-0.807026166739528,-1.56799492497215
subclass,CS20230722_SUBC_098,098 AHN-SBPV-PVHd Pdrm12 Gaba,ENSMUSG00000090137,Uba52,False,1.14962834664377,3.13496318266768e-17,3.79299195470963e-13,1.46255232923175,0.83670436405578
subclass,CS20230722_SUBC_098,098 AHN-SBPV-PVHd Pdrm12 Gaba,ENSMUSG00000025786,Zdhhc3,False,-1.00367417022807,8.74425890432417e-08,0.00105796788483418,-0.645849709023,-1.36149863143315
subclass,CS20230722_SUBC_108,108 ARH-PVp Tbx3 Gaba,,Mar1,False,-1.80954135387534,9.65853158966639e-19,1.19080035968997e-14,-1.34429809743069,-2.27478461031999
subclass,CS20230722_SUBC_108,108 ARH-PVp Tbx3 Gaba,ENSMUSG00000073590,3222401L13Rik,False,2.46587448856806,2.62011676023648e-35,3.23034195369556e-31,2.83954376425317,2.09220521288294
subclass,CS20230722_SUBC_108,108 ARH-PVp Tbx3 Gaba,ENSMUSG00000052479,A330008L17Rik,False,1.4205637258333,1.77703317267412e-13,2.19090419858993e-09,1.83672018762881,1.00440726403778
subclass,CS20230722_SUBC_108,108 ARH-PVp Tbx3 Gaba,ENSMUSG00000021536,Adcy2,False,-1.16618759710358,3.30316531672971e-07,0.00407247251899605,-0.63381619674285,-1.69855899746431
subclass,CS20230722_SUBC_108,108 ARH-PVp Tbx3 Gaba,ENSMUSG00000022376,Adcy8,False,1.17536221789319,2.97841261491215e-07,0.00367208491292519,1.61478169218415,0.735942743602228
subclass,CS20230722_SUBC_108,108 ARH-PVp Tbx3 Gaba,ENSMUSG00000046532,Ar,False,1.85831916296046,1.64322695501453e-17,2.02593451283741e-13,2.27079978574969,1.44583854017122
